Drill Listing
=============
Drill: .011  Tool: 1  Feed: 95  Speed: 300
X 255155  Y 426244
X 258032  Y 446103
X 259803  Y 421693
X 260196  Y 441991
X 261477  Y 437718
X 264105  Y 444800
X 277276  Y 421759
X 289009  Y 445598
X 289296  Y 438563
X 294449  Y 421693
X 302603  Y 439052
X 314626  Y 440165
X 327126  Y 440665
X 331965  Y 441316
X 335595  Y 440165
X 357935  Y 443411
X 366185  Y 442606
X 372126  Y 440165
X 372370  Y 421716
X 377106  Y 427038
X 382275  Y 429282
X 385661  Y 428270
X 388321  Y 445990
X 389976  Y 428025
X 390497  Y 433758
X 394192  Y 428310
X 397439  Y 430244
X 399255  Y 443931
X 401646  Y 421741
X 403165  Y 442737
X 393141  Y 446963
X 390777  Y 455022
X 387035  Y 449756
X 386808  Y 466168
X 380509  Y 459027
X 375064  Y 453339
X 358526  Y 448372
X 355188  Y 450516
X 353626  Y 461665
X 349612  Y 457726
X 348662  Y 461297
X 347577  Y 450214
X 340338  Y 456877
X 339970  Y 450099
X 335892  Y 469675
X 334532  Y 466382
X 333338  Y 457808
X 322731  Y 459808
X 317429  Y 459480
X 313854  Y 450006
X 313126  Y 460165
X 310626  Y 457665
X 302166  Y 464440
X 302098  Y 457940
X 298126  Y 454165
X 292126  Y 450665
X 284626  Y 471665
X 280276  Y 459427
X 275126  Y 460165
X 274126  Y 456165
X 273583  Y 449351
X 261181  Y 470928
X 278311  Y 486873
X 279158  Y 495166
X 283425  Y 494550
X 286475  Y 482165
X 287460  Y 489109
X 288763  Y 474283
X 301320  Y 491155
X 301796  Y 483260
X 311294  Y 485893
X 315626  Y 473665
X 319892  Y 475347
X 324723  Y 473684
X 325731  Y 493106
X 329101  Y 477811
X 332716  Y 478995
X 340755  Y 478153
X 341578  Y 481919
X 358793  Y 496197
X 359203  Y 473607
X 362011  Y 494961
X 362362  Y 477224
X 367942  Y 488386
X 375288  Y 487807
X 380866  Y 475174
X 380940  Y 488560
X 375219  Y 499592
X 375126  Y 521165
X 370777  Y 500185
X 367676  Y 497784
X 362362  Y 499633
X 361407  Y 517645
X 358390  Y 499598
X 357469  Y 514003
X 357117  Y 518156
X 336447  Y 518255
