Pin Group,Number,Name,Type
Gate-A,A8,P0.31/AIN7,Undefined
Gate-A,A10,P0.29/AIN5,Undefined
Gate-A,A12,P0.02/AIN0,Undefined
Gate-A,A14,P1.15,Undefined
Gate-A,A16,P1.13,Undefined
Gate-A,A18,DEC2,Undefined
Gate-A,A20,P1.10,Undefined
Gate-A,A22,VDD1,Undefined
Gate-A,A23,XC2,Undefined
Gate-A,B1,VDD2,Undefined
Gate-A,B3,DCC,Undefined
Gate-A,B5,DEC4,Undefined
Gate-A,B7,VSS1,Undefined
Gate-A,B9,P0.30/AIN6,Undefined
Gate-A,B11,P0.28/AIN4,Undefined
Gate-A,B13,P0.03/AIN1,Undefined
Gate-A,B15,P1.14,Undefined
Gate-A,B17,P1.12,Undefined
Gate-A,B19,P1.11,Undefined
Gate-A,B24,XC1,Undefined
Gate-A,C1,DEC1,Undefined
Gate-A,D2,P0.00/XL1,Undefined
Gate-A,D23,DEC3,Undefined
Gate-A,E24,DEC6,Undefined
Gate-A,F2,P0.01/XL2,Undefined
Gate-A,F23,VSS_PA,Undefined
Gate-A,G1,P0.26,Undefined
Gate-A,H2,P0.27,Undefined
Gate-A,H23,ANT,Undefined
Gate-A,J1,P0.04/AIN2,Undefined
Gate-A,J24,P0.10/NFC2,Undefined
Gate-A,K2,P0.05/AIN3,Undefined
Gate-A,L1,P0.06,Undefined
Gate-A,L24,P0.09/NFC1,Undefined
Gate-A,M2,P0.07/TRACECLK,Undefined
Gate-A,N1,P0.08,Undefined
Gate-A,N24,DEC5/NC,Undefined
Gate-A,P2,P1.08,Undefined
Gate-A,P23,P1.07,Undefined
Gate-A,R1,P1.09/TRACEDATA3,Undefined
Gate-A,R24,P1.06,Undefined
Gate-A,T2,P0.11/TRACEDATA2,Undefined
Gate-A,T23,P1.05,Undefined
Gate-A,U1,P0.12/TRACEDATA1,Undefined
Gate-A,U24,P1.04,Undefined
Gate-A,V23,P1.03,Undefined
Gate-A,W1,VDD3,Undefined
Gate-A,W24,P1.02,Undefined
Gate-A,Y2,VDDH,Undefined
Gate-A,Y23,P1.01,Undefined
Gate-A,AA24,SWDCLK,Undefined
Gate-A,AB2,DCCH,Undefined
Gate-A,AC5,DECUSB,Undefined
Gate-A,AC9,P0.14,Undefined
Gate-A,AC11,P0.16,Undefined
Gate-A,AC13,P0.18/nRESET,Undefined
Gate-A,AC15,P0.19,Undefined
Gate-A,AC17,P0.21,Undefined
Gate-A,AC19,P0.23,Undefined
Gate-A,AC21,P0.25,Undefined
Gate-A,AC24,SWDIO,Undefined
Gate-A,AD2,VBUS,Undefined
Gate-A,AD4,D-,Undefined
Gate-A,AD6,D+,Undefined
Gate-A,AD8,P0.13,Undefined
Gate-A,AD10,P0.15,Undefined
Gate-A,AD12,P0.17,Undefined
Gate-A,AD14,VDD4,Undefined
Gate-A,AD16,P0.20,Undefined
Gate-A,AD18,P0.22,Undefined
Gate-A,AD20,P0.24,Undefined
Gate-A,AD22,P1.00/TRACEDATA0,Undefined
Gate-A,AD23,VDD5,Undefined
Gate-A,PAD,VSS2,Undefined
