Drill Listing
=============
Drill: .01  Tool: 1  Feed: 95  Speed: 300
X 1005000  Y 1040000
X 1022476  Y 1056668
X 1004798  Y 1074346
X 1022476  Y 1092023
X 1004798  Y 1109701
X 1015965  Y 1124880
X 1024117  Y 1124880
X 1020000  Y 1134819
X 1028000  Y 1134819
X 1004798  Y 1145056
X 1022476  Y 1162734
X 1004798  Y 1180412
X 1019181  Y 1194000
X 1022476  Y 1198090
X 1018492  Y 1204000
X 1004798  Y 1215767
X 1022476  Y 1233445
X 1004798  Y 1251123
X 1040153  Y 1286478
X 1050220  Y 1236630
X 1040000  Y 1220000
X 1049000  Y 1204000
X 1040000  Y 1203968
X 1032819  Y 1194000
X 1048000  Y 1190281
X 1040000  Y 1190181
X 1041193  Y 1178881
X 1047950  Y 1178372
X 1044810  Y 1178293
X 1051000  Y 1177000
X 1054608  Y 1174572
X 1037664  Y 1170296
X 1042588  Y 1168653
X 1048622  Y 1168622
X 1033500  Y 1168500
X 1037400  Y 1164666
X 1042500  Y 1164500
X 1040000  Y 1163323
X 1037500  Y 1162066
X 1042500  Y 1161900
X 1037554  Y 1159466
X 1042600  Y 1159300
X 1045937  Y 1155886
X 1033500  Y 1155500
X 1043000  Y 1147000
X 1044000  Y 1134819
X 1052000  Y 1134819
X 1036000  Y 1134819
X 1047211  Y 1122002
X 1041000  Y 1103578
X 1040153  Y 1074346
X 1040153  Y 1038990
X 1041000  Y 1012422
X 1044381  Y 1008114
X 1040000  Y 1005000
X 1065181  Y 1008000
X 1078819  Y 1008000
X 1076000  Y 1012422
X 1075509  Y 1038990
X 1057831  Y 1056668
X 1075509  Y 1074346
X 1074000  Y 1118819
X 1060000  Y 1121000
X 1071486  Y 1132654
X 1056960  Y 1140510
X 1067405  Y 1145212
X 1060883  Y 1147198
X 1070996  Y 1149380
X 1063169  Y 1151718
X 1056960  Y 1156543
X 1072110  Y 1157382
X 1075821  Y 1159035
X 1068110  Y 1163389
X 1068275  Y 1167876
X 1071486  Y 1184425
X 1056229  Y 1190205
X 1072000  Y 1190281
X 1064000  Y 1190281
X 1059820  Y 1197245
X 1072000  Y 1203719
X 1064000  Y 1203719
X 1060246  Y 1206127
X 1065500  Y 1207000
X 1059680  Y 1209927
X 1062280  Y 1210619
X 1077659  Y 1215768
X 1063000  Y 1226500
X 1067152  Y 1235302
X 1057831  Y 1268800
X 1075509  Y 1286478
X 1093186  Y 1233445
X 1093450  Y 1223000
X 1080819  Y 1210000
X 1081000  Y 1204408
X 1090000  Y 1203719
X 1090000  Y 1190281
X 1081000  Y 1189592
X 1083749  Y 1172706
X 1097389  Y 1169476
X 1084661  Y 1168181
X 1096054  Y 1163749
X 1084668  Y 1159678
X 1085629  Y 1155325
X 1084255  Y 1150982
X 1085000  Y 1130000
X 1082000  Y 1118819
X 1101600  Y 1091019
X 1099000  Y 1091000
X 1085500  Y 1087000
X 1100000  Y 1067000
X 1100000  Y 1060000
X 1100000  Y 1053000
X 1081000  Y 1024838
X 1090950  Y 1008000
X 1104450  Y 1008000
X 1110000  Y 1005000
X 1110864  Y 1038990
X 1107000  Y 1053000
X 1114000  Y 1053000
X 1128542  Y 1056668
