Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 104200  Y 145600
X 102844  Y 147703

Drill: .012  Tool: 2  Feed: 95  Speed: 300
X 104334  Y 23564
X 107880  Y 23564
X 107907  Y 27107
X 92788  Y 27953
X 103150  Y 31764
X 95669  Y 31764
X 88189  Y 31764
X 109196  Y 37595
X 99417  Y 41679
X 106304  Y 47204
X 102758  Y 47204
X 91726  Y 48780
X 108851  Y 49125
X 97758  Y 49805
X 106304  Y 50750
X 102758  Y 50750
X 91726  Y 52326
X 103310  Y 55655
X 91726  Y 55872
X 105977  Y 57522
X 97627  Y 57659
X 84741  Y 59654
X 93307  Y 59717
X 98496  Y 62598
X 98496  Y 66142
X 85501  Y 73496
X 89397  Y 73715
X 96500  Y 74000
X 109455  Y 78841
X 84645  Y 90157
X 108308  Y 142609
X 131496  Y 158787
X 121080  Y 144943
X 117988  Y 144943
X 118019  Y 141247
X 121149  Y 141243
X 113693  Y 138284
X 133490  Y 123047
X 127186  Y 123047
X 121094  Y 123047
X 131102  Y 119325
X 121094  Y 116942
X 121094  Y 111032
X 121094  Y 94484
X 121094  Y 86998
X 112691  Y 74309
X 121094  Y 70844
X 121094  Y 64540
X 111336  Y 61781
X 127974  Y 58874
X 121094  Y 58874
X 115821  Y 57733
X 115692  Y 52609
X 112469  Y 51510
X 124409  Y 48300
X 120669  Y 48300
X 128263  Y 48298
X 115395  Y 37549
X 134278  Y 37354
X 112200  Y 37300
X 117985  Y 35039
X 134278  Y 33808
X 131700  Y 27600
X 117985  Y 27559
X 112204  Y 26771
X 118912  Y 23564
X 111426  Y 23564
X 114972  Y 23564
X 138188  Y 33841
X 138218  Y 37354
X 138218  Y 40900
X 134646  Y 41213
X 147674  Y 44840
X 150826  Y 44840
X 144522  Y 44840
X 141370  Y 44840
X 158798  Y 49606
X 153382  Y 51227
X 148856  Y 58874
X 156736  Y 58874
X 134672  Y 58874
X 156567  Y 64961
X 139244  Y 100000
X 146187  Y 110659
X 142520  Y 117449
X 148856  Y 123047
X 157524  Y 123047
X 151228  Y 134917
X 155367  Y 139526
X 139370  Y 158787
X 147244  Y 158787
X 159055  Y 161515
X 174803  Y 162992
X 182677  Y 158650
X 182677  Y 156083
X 182677  Y 153535
X 182677  Y 151040
X 181656  Y 129825
X 170666  Y 127125
X 172636  Y 123047
X 178937  Y 123047
X 175984  Y 110711
X 161024  Y 110711
X 166586  Y 96848
X 173190  Y 96757
X 169600  Y 85900
X 160406  Y 72047
X 179921  Y 69166
X 173622  Y 68531
X 172890  Y 58874
X 179194  Y 58874
X 174600  Y 51100
X 173282  Y 46532
X 172047  Y 42126
X 174900  Y 40500
X 172047  Y 37402
X 174600  Y 35500
X 174677  Y 28346
X 199612  Y 26818
X 201800  Y 29000
X 207480  Y 29008
X 192520  Y 29008
X 196100  Y 39000
X 200200  Y 43845
X 202605  Y 45400
X 196691  Y 45427
X 208803  Y 46074
X 208896  Y 55843
X 192153  Y 56157
X 185268  Y 58874
X 204425  Y 60011
X 196218  Y 60456
X 191338  Y 61023
X 199002  Y 61632
X 185268  Y 64934
X 185268  Y 70844
X 202746  Y 80891
X 198598  Y 86184
X 185268  Y 86604
X 191732  Y 87007
X 185268  Y 94878
X 185268  Y 111032
X 194560  Y 115760
X 185268  Y 116942
X 185268  Y 123047
X 190800  Y 128500
X 191638  Y 147486
X 187600  Y 147500
X 202200  Y 147500
X 195472  Y 147512
X 198980  Y 147515
X 215526  Y 163607
X 220170  Y 156342
X 216624  Y 156342
X 220170  Y 152796
X 216624  Y 152796
X 211977  Y 151746
X 220170  Y 149250
X 216624  Y 149250
X 219291  Y 145795
X 214994  Y 117139
X 223654  Y 112214
X 221653  Y 89763
X 221263  Y 86493
X 216661  Y 81102
X 213249  Y 75338
X 221260  Y 57847

End of Listing
