#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A41D55
#Date Time: 2020-05-13 22:34:45.432
#Sample rate: 8000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 1 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.5 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.3 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.511908,1.58267
-0.511783,1.58199
-0.511658,1.58233
-0.511533,1.58165
-0.511408,1.58097
-0.511283,1.58233
-0.511158,1.58233
-0.511033,1.58199
-0.510908,1.58267
-0.510783,1.58267
-0.510658,1.58233
-0.510533,1.58233
-0.510408,1.58267
-0.510283,1.5837
-0.510158,1.58336
-0.510033,1.58233
-0.509908,1.58199
-0.509783,1.58199
-0.509658,1.58233
-0.509533,1.58233
-0.509408,1.58302
-0.509283,1.58302
-0.509158,1.58233
-0.509033,1.58267
-0.508908,1.58233
-0.508783,1.58302
-0.508658,1.5837
-0.508533,1.58336
-0.508408,1.5837
-0.508283,1.58302
-0.508158,1.58267
-0.508033,1.58233
-0.507908,1.58267
-0.507783,1.58267
-0.507658,1.58267
-0.507533,1.58233
-0.507408,1.58267
-0.507283,1.58336
-0.507158,1.58336
-0.507033,1.58302
-0.506908,1.58336
-0.506783,1.58233
-0.506658,1.58233
-0.506533,1.58336
-0.506408,1.58302
-0.506283,1.58302
-0.506158,1.58267
-0.506033,1.58199
-0.505908,1.58267
-0.505783,1.58336
-0.505658,1.58404
-0.505533,1.58404
-0.505408,1.5837
-0.505283,1.58336
-0.505158,1.58336
-0.505033,1.58267
-0.504908,1.5837
-0.504783,1.58473
-0.504658,1.58473
-0.504533,1.58438
-0.504408,1.58507
-0.504283,1.58507
-0.504158,1.58404
-0.504033,1.58473
-0.503908,1.5837
-0.503783,1.5837
-0.503658,1.58438
-0.503533,1.58302
-0.503408,1.58267
-0.503283,1.5837
-0.503158,1.58404
-0.503033,1.58507
-0.502908,1.58302
-0.502783,1.58336
-0.502658,1.58404
-0.502533,1.58233
-0.502408,1.58302
-0.502283,1.5837
-0.502158,1.58404
-0.502033,1.58267
-0.501908,1.58302
-0.501783,1.58404
-0.501658,1.5837
-0.501533,1.58404
-0.501408,1.5837
-0.501283,1.58302
-0.501158,1.58336
-0.501033,1.58336
-0.500908,1.58302
-0.500783,1.58336
-0.500658,1.58302
-0.500533,1.58267
-0.500408,1.58199
-0.500283,1.58199
-0.500158,1.58267
-0.500033,1.58302
-0.499908,1.58336
-0.499783,1.58336
-0.499658,1.58336
-0.499533,1.58233
-0.499408,1.58199
-0.499283,1.58302
-0.499158,1.58302
-0.499033,1.58233
-0.498908,1.58336
-0.498783,1.58267
-0.498658,1.58267
-0.498533,1.58336
-0.498408,1.58302
-0.498283,1.58404
-0.498158,1.58336
-0.498033,1.58336
-0.497908,1.58302
-0.497783,1.58233
-0.497658,1.58267
-0.497533,1.58233
-0.497408,1.58199
-0.497283,1.58199
-0.497158,1.58233
-0.497033,1.58302
-0.496908,1.58267
-0.496783,1.58267
-0.496658,1.58302
-0.496533,1.58302
-0.496408,1.58302
-0.496283,1.58267
-0.496158,1.58267
-0.496033,1.58267
-0.495908,1.58267
-0.495783,1.58233
-0.495658,1.58267
-0.495533,1.58267
-0.495408,1.58302
-0.495283,1.58233
-0.495158,1.58097
-0.495033,1.58199
-0.494908,1.58131
-0.494783,1.58097
-0.494658,1.58233
-0.494533,1.58233
-0.494408,1.58165
-0.494283,1.58165
-0.494158,1.58165
-0.494033,1.58165
-0.493908,1.58165
-0.493783,1.58199
-0.493658,1.58233
-0.493533,1.58336
-0.493408,1.5837
-0.493283,1.58165
-0.493158,1.58165
-0.493033,1.58233
-0.492908,1.58233
-0.492783,1.58233
-0.492658,1.58302
-0.492533,1.58302
-0.492408,1.58267
-0.492283,1.58199
-0.492158,1.58199
-0.492033,1.58199
-0.491908,1.58233
-0.491783,1.58199
-0.491658,1.58302
-0.491533,1.58336
-0.491408,1.5837
-0.491283,1.5837
-0.491158,1.58302
-0.491033,1.58302
-0.490908,1.58302
-0.490783,1.58267
-0.490658,1.58404
-0.490533,1.58302
-0.490408,1.58302
-0.490283,1.58302
-0.490158,1.58336
-0.490033,1.58438
-0.489908,1.58438
-0.489783,1.58404
-0.489658,1.58473
-0.489533,1.58404
-0.489408,1.5837
-0.489283,1.58302
-0.489158,1.58404
-0.489033,1.58438
-0.488908,1.58404
-0.488783,1.58438
-0.488658,1.58336
-0.488533,1.58267
-0.488408,1.58336
-0.488283,1.58438
-0.488158,1.58609
-0.488033,1.58575
-0.487908,1.58643
-0.487783,1.58643
-0.487658,1.58507
-0.487533,1.58609
-0.487408,1.58541
-0.487283,1.58473
-0.487158,1.58438
-0.487033,1.58438
-0.486908,1.58336
-0.486783,1.58233
-0.486658,1.58267
-0.486533,1.58302
-0.486408,1.58199
-0.486283,1.58233
-0.486158,1.58199
-0.486033,1.58199
-0.485908,1.58302
-0.485783,1.58302
-0.485658,1.58302
-0.485533,1.5837
-0.485408,1.58302
-0.485283,1.58404
-0.485158,1.58336
-0.485033,1.58336
-0.484908,1.58336
-0.484783,1.58233
-0.484658,1.58199
-0.484533,1.58233
-0.484408,1.58233
-0.484283,1.58267
-0.484158,1.58302
-0.484033,1.58267
-0.483908,1.58267
-0.483783,1.58302
-0.483658,1.58302
-0.483533,1.58267
-0.483408,1.58267
-0.483283,1.58302
-0.483158,1.58267
-0.483033,1.5837
-0.482908,1.58336
-0.482783,1.58404
-0.482658,1.58336
-0.482533,1.58336
-0.482408,1.58336
-0.482283,1.58267
