#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A41D55
#Date Time: 2020-05-19 17:07:36.185
#Sample rate: 8000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 1.8 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.5 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.3 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.511955,2.134
-0.51183,2.13468
-0.511705,2.13502
-0.51158,2.13502
-0.511455,2.13537
-0.51133,2.13639
-0.511205,2.13673
-0.51108,2.13776
-0.510955,2.13844
-0.51083,2.13878
-0.510705,2.13981
-0.51058,2.14015
-0.510455,2.14118
-0.51033,2.14118
-0.510205,2.14152
-0.51008,2.1422
-0.509955,2.14254
-0.50983,2.14288
-0.509705,2.14425
-0.50958,2.14425
-0.509455,2.14494
-0.50933,2.14562
-0.509205,2.14528
-0.50908,2.14596
-0.508955,2.14699
-0.50883,2.14733
-0.508705,2.14767
-0.50858,2.14835
-0.508455,2.1487
-0.50833,2.14938
-0.508205,2.14972
-0.50808,2.15006
-0.507955,2.15109
-0.50783,2.15177
-0.507705,2.15246
-0.50758,2.15314
-0.507455,2.15348
-0.50733,2.15382
-0.507205,2.15485
-0.50708,2.15587
-0.506955,2.15587
-0.50683,2.1569
-0.506705,2.15758
-0.50658,2.15758
-0.506455,2.15758
-0.50633,2.15792
-0.506205,2.15895
-0.50608,2.15963
-0.505955,2.15963
-0.50583,2.16032
-0.505705,2.161
-0.50558,2.16134
-0.505455,2.16168
-0.50533,2.16203
-0.505205,2.16237
-0.50508,2.16305
-0.504955,2.16305
-0.50483,2.16373
-0.504705,2.16408
-0.50458,2.16408
-0.504455,2.16442
-0.50433,2.16442
-0.504205,2.16442
-0.50408,2.1651
-0.503955,2.1651
-0.50383,2.16476
-0.503705,2.1651
-0.50358,2.16544
-0.503455,2.16613
-0.50333,2.16647
-0.503205,2.16647
-0.50308,2.16681
-0.502955,2.16715
-0.50283,2.16715
-0.502705,2.16784
-0.50258,2.16784
-0.502455,2.16784
-0.50233,2.16852
-0.502205,2.16852
-0.50208,2.1692
-0.501955,2.1692
-0.50183,2.1692
-0.501705,2.16955
-0.50158,2.1692
-0.501455,2.1692
-0.50133,2.17023
-0.501205,2.16989
-0.50108,2.16989
-0.500955,2.17057
-0.50083,2.17057
-0.500705,2.17125
-0.50058,2.1716
-0.500455,2.1716
-0.50033,2.17262
-0.500205,2.17262
-0.50008,2.17296
-0.499955,2.17365
-0.49983,2.17399
-0.499705,2.17433
-0.49958,2.17467
-0.499455,2.17467
-0.49933,2.17467
-0.499205,2.17467
-0.49908,2.17501
-0.498955,2.17536
-0.49883,2.1757
-0.498705,2.17604
-0.49858,2.17672
-0.498455,2.17672
-0.49833,2.17672
-0.498205,2.17672
-0.49808,2.17672
-0.497955,2.17706
-0.49783,2.17775
-0.497705,2.17775
-0.49758,2.17809
-0.497455,2.17877
-0.49733,2.17877
-0.497205,2.17946
-0.49708,2.17946
-0.496955,2.18048
-0.49683,2.18048
-0.496705,2.18048
-0.49658,2.18151
-0.496455,2.18151
-0.49633,2.18117
-0.496205,2.18185
-0.49608,2.18219
-0.495955,2.18219
-0.49583,2.18253
-0.495705,2.18288
-0.49558,2.18322
-0.495455,2.18322
-0.49533,2.1839
-0.495205,2.18356
-0.49508,2.18356
-0.494955,2.1839
-0.49483,2.18424
-0.494705,2.18424
-0.49458,2.18493
-0.494455,2.18493
-0.49433,2.18527
-0.494205,2.18595
-0.49408,2.18595
-0.493955,2.18629
-0.49383,2.18698
-0.493705,2.18698
-0.49358,2.18698
-0.493455,2.18732
-0.49333,2.18732
-0.493205,2.188
-0.49308,2.18834
-0.492955,2.18903
-0.49283,2.18971
-0.492705,2.19074
-0.49258,2.1904
-0.492455,2.19108
-0.49233,2.19176
-0.492205,2.19176
-0.49208,2.1921
-0.491955,2.19176
-0.49183,2.19245
-0.491705,2.19279
-0.49158,2.19313
-0.491455,2.19347
-0.49133,2.19313
-0.491205,2.19347
-0.49108,2.19381
-0.490955,2.19415
-0.49083,2.19415
-0.490705,2.19415
-0.49058,2.19415
-0.490455,2.19415
-0.49033,2.1945
-0.490205,2.19484
-0.49008,2.19518
-0.489955,2.19552
-0.48983,2.19518
-0.489705,2.19621
-0.48958,2.19621
-0.489455,2.19655
-0.48933,2.19655
-0.489205,2.19621
-0.48908,2.19689
-0.488955,2.19723
-0.48883,2.19723
-0.488705,2.19757
-0.48858,2.19757
-0.488455,2.19723
-0.48833,2.19791
-0.488205,2.19791
-0.48808,2.19791
-0.487955,2.19826
-0.48783,2.19826
-0.487705,2.19894
-0.48758,2.1986
-0.487455,2.19894
-0.48733,2.1986
-0.487205,2.1986
-0.48708,2.19894
-0.486955,2.19894
-0.48683,2.1986
-0.486705,2.19962
-0.48658,2.19962
-0.486455,2.19962
-0.48633,2.19997
-0.486205,2.19928
-0.48608,2.19962
-0.485955,2.19962
-0.48583,2.19928
-0.485705,2.19962
-0.48558,2.19962
-0.485455,2.20031
-0.48533,2.20031
-0.485205,2.19997
-0.48508,2.20031
-0.484955,2.20031
-0.48483,2.20031
-0.484705,2.20133
-0.48458,2.20099
-0.484455,2.20099
-0.48433,2.20167
-0.484205,2.20133
-0.48408,2.20236
-0.483955,2.20236
-0.48383,2.20167
-0.483705,2.20304
-0.48358,2.2027
-0.483455,2.2027
-0.48333,2.20304
-0.483205,2.2027
-0.48308,2.20338
-0.482955,2.20373
-0.48283,2.20407
-0.482705,2.20407
-0.48258,2.20407
-0.482455,2.20407
-0.48233,2.20441
-0.482205,2.20441
-0.48208,2.20475
-0.481955,2.20407
-0.48183,2.20441
-0.481705,2.20475
-0.48158,2.20441
-0.481455,2.20475
-0.48133,2.20441
-0.481205,2.20373
-0.48108,2.20373
-0.480955,2.20373
-0.48083,2.20338
-0.480705,2.20338
-0.48058,2.20304
-0.480455,2.20338
-0.48033,2.20304
-0.480205,2.20236
-0.48008,2.20236
-0.479955,2.2027
-0.47983,2.20304
-0.479705,2.20304
-0.47958,2.20304
-0.479455,2.20236
-0.47933,2.20236
-0.479205,2.20236
-0.47908,2.2027
-0.478955,2.20236
-0.47883,2.20167
-0.478705,2.20202
-0.47858,2.20202
-0.478455,2.20167
-0.47833,2.20202
-0.478205,2.20133
-0.47808,2.20133
-0.477955,2.20099
-0.47783,2.20133
-0.477705,2.20133
-0.47758,2.20167
-0.477455,2.20099
-0.47733,2.20167
-0.477205,2.20167
-0.47708,2.20065
-0.476955,2.20099
-0.47683,2.20065
-0.476705,2.20065
-0.47658,2.20031
-0.476455,2.20031
-0.47633,2.20065
-0.476205,2.20031
-0.47608,2.19997
-0.475955,2.20065
-0.47583,2.20065
-0.475705,2.20099
-0.47558,2.20099
-0.475455,2.20099
-0.47533,2.20065
-0.475205,2.20065
-0.47508,2.20065
-0.474955,2.20065
-0.47483,2.20099
-0.474705,2.20167
-0.47458,2.20202
-0.474455,2.20099
-0.47433,2.20133
-0.474205,2.20065
-0.47408,2.20031
-0.473955,2.20065
-0.47383,2.20099
-0.473705,2.20099
-0.47358,2.20065
-0.473455,2.20065
-0.47333,2.20099
-0.473205,2.20099
-0.47308,2.20133
-0.472955,2.20099
-0.47283,2.20133
-0.472705,2.20202
-0.47258,2.20133
-0.472455,2.20133
-0.47233,2.20202
-0.472205,2.20202
-0.47208,2.20202
-0.471955,2.20202
-0.47183,2.20133
-0.471705,2.20167
-0.47158,2.20202
-0.471455,2.20202
-0.47133,2.20236
-0.471205,2.2027
-0.47108,2.2027
-0.470955,2.20304
-0.47083,2.20304
