#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A41D55
#Date Time: 2020-05-21 14:21:31.473
#Sample rate: 8000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 1.6 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.5 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.3 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.511989,1.81715
-0.511864,1.81612
-0.511739,1.81476
-0.511614,1.81442
-0.511489,1.81305
-0.511364,1.81236
-0.511239,1.81134
-0.511114,1.81066
-0.510989,1.80963
-0.510864,1.8086
-0.510739,1.80758
-0.510614,1.80655
-0.510489,1.80519
-0.510364,1.80519
-0.510239,1.8045
-0.510114,1.80382
-0.509989,1.80348
-0.509864,1.80245
-0.509739,1.80245
-0.509614,1.80177
-0.509489,1.80108
-0.509364,1.80108
-0.509239,1.8004
-0.509114,1.79972
-0.508989,1.79938
-0.508864,1.79835
-0.508739,1.79801
-0.508614,1.79767
-0.508489,1.79698
-0.508364,1.7963
-0.508239,1.79562
-0.508114,1.79459
-0.507989,1.79425
-0.507864,1.79357
-0.507739,1.79391
-0.507614,1.79322
-0.507489,1.7922
-0.507364,1.79254
-0.507239,1.79151
-0.507114,1.79151
-0.506989,1.79117
-0.506864,1.79083
-0.506739,1.79083
-0.506614,1.78981
-0.506489,1.78912
-0.506364,1.78946
-0.506239,1.78981
-0.506114,1.78912
-0.505989,1.78878
-0.505864,1.78844
-0.505739,1.78741
-0.505614,1.78775
-0.505489,1.78775
-0.505364,1.78673
-0.505239,1.78605
-0.505114,1.78536
-0.504989,1.78502
-0.504864,1.78434
-0.504739,1.78297
-0.504614,1.78263
-0.504489,1.78194
-0.504364,1.78126
-0.504239,1.78058
-0.504114,1.78058
-0.503989,1.78058
-0.503864,1.77989
-0.503739,1.77989
-0.503614,1.78024
-0.503489,1.77955
-0.503364,1.77887
-0.503239,1.77921
-0.503114,1.77921
-0.502989,1.77818
-0.502864,1.7775
-0.502739,1.7775
-0.502614,1.77648
-0.502489,1.77579
-0.502364,1.77545
-0.502239,1.77477
-0.502114,1.77374
-0.501989,1.77306
-0.501864,1.77237
-0.501739,1.77203
-0.501614,1.77135
-0.501489,1.77135
-0.501364,1.77066
-0.501239,1.77066
-0.501114,1.77032
-0.500989,1.76998
-0.500864,1.7693
-0.500739,1.76896
-0.500614,1.76793
-0.500489,1.76759
-0.500364,1.76725
-0.500239,1.76759
-0.500114,1.7669
-0.499989,1.76725
-0.499864,1.7669
-0.499739,1.76588
-0.499614,1.76622
-0.499489,1.76554
-0.499364,1.7652
-0.499239,1.76554
-0.499114,1.76588
-0.498989,1.76656
-0.498864,1.76656
-0.498739,1.76554
-0.498614,1.76554
-0.498489,1.7652
-0.498364,1.76485
-0.498239,1.76417
-0.498114,1.76383
-0.497989,1.76417
-0.497864,1.76417
-0.497739,1.76383
-0.497614,1.76451
-0.497489,1.76485
-0.497364,1.76349
-0.497239,1.76383
-0.497114,1.76383
-0.496989,1.76315
-0.496864,1.76315
-0.496739,1.76212
-0.496614,1.76109
-0.496489,1.76007
-0.496364,1.76007
-0.496239,1.76075
-0.496114,1.76041
-0.495989,1.75904
-0.495864,1.75836
-0.495739,1.75802
-0.495614,1.75733
-0.495489,1.75836
-0.495364,1.75836
-0.495239,1.75768
-0.495114,1.75768
-0.494989,1.75733
-0.494864,1.75665
-0.494739,1.75665
-0.494614,1.75665
-0.494489,1.75665
-0.494364,1.75699
-0.494239,1.75631
-0.494114,1.75699
-0.493989,1.75733
-0.493864,1.75733
-0.493739,1.75768
-0.493614,1.75802
-0.493489,1.75904
-0.493364,1.75904
-0.493239,1.75939
-0.493114,1.76007
-0.492989,1.76075
-0.492864,1.76109
-0.492739,1.76144
-0.492614,1.76178
-0.492489,1.7628
-0.492364,1.76349
-0.492239,1.76383
-0.492114,1.76451
-0.491989,1.76485
-0.491864,1.7652
-0.491739,1.76554
-0.491614,1.76588
-0.491489,1.76622
-0.491364,1.76656
-0.491239,1.7669
-0.491114,1.76759
-0.490989,1.76793
-0.490864,1.76861
-0.490739,1.76964
-0.490614,1.76998
-0.490489,1.77101
-0.490364,1.77237
-0.490239,1.77306
-0.490114,1.77306
-0.489989,1.77442
-0.489864,1.77545
-0.489739,1.77511
-0.489614,1.77579
-0.489489,1.77716
-0.489364,1.7775
-0.489239,1.77716
