#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A41D55
#Date Time: 2020-05-25 15:15:26.706
#Sample rate: 8000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Either Level: 500 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.5 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.3 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.511966,1.68351
-0.511841,1.68214
-0.511716,1.68043
-0.511591,1.67906
-0.511466,1.67804
-0.511341,1.67633
-0.511216,1.67428
-0.511091,1.67223
-0.510966,1.66983
-0.510841,1.66778
-0.510716,1.66505
-0.510591,1.663
-0.510466,1.66129
-0.510341,1.65924
-0.510216,1.65685
-0.510091,1.65514
-0.509966,1.65309
-0.509841,1.65103
-0.509716,1.64898
-0.509591,1.64693
-0.509466,1.64454
-0.509341,1.64215
-0.509216,1.6401
-0.509091,1.6377
-0.508966,1.63497
-0.508841,1.63224
-0.508716,1.6295
-0.508591,1.62711
-0.508466,1.62437
-0.508341,1.62267
-0.508216,1.62027
-0.508091,1.61788
-0.507966,1.61549
-0.507841,1.61309
-0.507716,1.61036
-0.507591,1.60831
-0.507466,1.6066
-0.507341,1.60558
-0.507216,1.60387
-0.507091,1.60147
-0.506966,1.59908
-0.506841,1.59669
-0.506716,1.5943
-0.506591,1.59225
-0.506466,1.58985
-0.506341,1.58814
-0.506216,1.58609
-0.506091,1.58233
-0.505966,1.57891
-0.505841,1.57584
-0.505716,1.5731
-0.505591,1.57105
-0.505466,1.569
-0.505341,1.56695
-0.505216,1.56456
-0.505091,1.56251
-0.504966,1.56114
-0.504841,1.55943
-0.504716,1.55772
-0.504591,1.55499
-0.504466,1.55123
-0.504341,1.54884
-0.504216,1.54576
-0.504091,1.54303
-0.503966,1.54098
-0.503841,1.53892
-0.503716,1.53687
-0.503591,1.53448
-0.503466,1.53277
-0.503341,1.53038
-0.503216,1.52901
-0.503091,1.5273
-0.502966,1.52525
-0.502841,1.5232
-0.502716,1.52149
-0.502591,1.51944
-0.502466,1.51739
-0.502341,1.51534
-0.502216,1.51329
-0.502091,1.51124
-0.501966,1.51021
-0.501841,1.5085
-0.501716,1.50645
-0.501591,1.50474
-0.501466,1.50269
-0.501341,1.50098
-0.501216,1.49928
-0.501091,1.4962
-0.500966,1.49381
-0.500841,1.49107
-0.500716,1.48902
-0.500591,1.48629
-0.500466,1.48389
-0.500341,1.48116
-0.500216,1.47911
-0.500091,1.47706
-0.499966,1.47501
-0.499841,1.47296
-0.499716,1.47022
-0.499591,1.46817
-0.499466,1.46544
-0.499341,1.46407
-0.499216,1.4627
-0.499091,1.46236
-0.498966,1.46168
-0.498841,1.46031
-0.498716,1.4586
-0.498591,1.45689
-0.498466,1.45518
-0.498341,1.45313
-0.498216,1.45177
-0.498091,1.45006
-0.497966,1.44937
-0.497841,1.44766
-0.497716,1.44425
-0.497591,1.44083
-0.497466,1.43912
-0.497341,1.43741
-0.497216,1.43604
-0.497091,1.43468
-0.496966,1.43331
-0.496841,1.43262
-0.496716,1.43126
-0.496591,1.42989
-0.496466,1.42852
-0.496341,1.4275
-0.496216,1.42613
-0.496091,1.4251
-0.495966,1.42408
-0.495841,1.42237
-0.495716,1.42066
-0.495591,1.41929
-0.495466,1.41793
-0.495341,1.41759
-0.495216,1.41656
-0.495091,1.41553
-0.494966,1.41417
-0.494841,1.41314
-0.494716,1.41246
-0.494591,1.41246
-0.494466,1.41177
-0.494341,1.41041
-0.494216,1.40904
-0.494091,1.40801
-0.493966,1.40699
-0.493841,1.40562
-0.493716,1.4046
-0.493591,1.40426
-0.493466,1.40357
-0.493341,1.40289
-0.493216,1.40186
-0.493091,1.40186
-0.492966,1.40118
-0.492841,1.4005
-0.492716,1.39981
-0.492591,1.39913
-0.492466,1.3981
-0.492341,1.39742
-0.492216,1.39674
-0.492091,1.39605
-0.491966,1.39571
-0.491841,1.39571
-0.491716,1.39605
-0.491591,1.39571
-0.491466,1.39605
-0.491341,1.39571
-0.491216,1.39571
-0.491091,1.39571
-0.490966,1.39503
-0.490841,1.39503
-0.490716,1.39674
