#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A41D55
#Date Time: 2020-05-19 17:04:53.182
#Sample rate: 8000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.5 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.3 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.511938,2.57595
-0.511813,2.57526
-0.511688,2.5756
-0.511563,2.5756
-0.511437,2.5756
-0.511313,2.5756
-0.511188,2.5756
-0.511063,2.57526
-0.510938,2.57595
-0.510813,2.57526
-0.510688,2.5756
-0.510563,2.5756
-0.510437,2.5756
-0.510313,2.5756
-0.510188,2.5756
-0.510063,2.57526
-0.509938,2.57595
-0.509813,2.5756
-0.509688,2.5756
-0.509563,2.5756
-0.509437,2.57526
-0.509313,2.57595
-0.509188,2.57629
-0.509063,2.57595
-0.508938,2.57629
-0.508813,2.57663
-0.508688,2.57595
-0.508563,2.57629
-0.508437,2.57629
-0.508313,2.57595
-0.508188,2.57595
-0.508063,2.5756
-0.507938,2.5756
-0.507812,2.57595
-0.507688,2.5756
-0.507563,2.5756
-0.507437,2.5756
-0.507313,2.5756
-0.507188,2.57595
-0.507063,2.57595
-0.506938,2.57526
-0.506812,2.5756
-0.506688,2.5756
-0.506563,2.57526
-0.506437,2.5756
-0.506313,2.57526
-0.506188,2.57492
-0.506063,2.5756
-0.505938,2.5756
-0.505812,2.5756
-0.505688,2.5756
-0.505563,2.57526
-0.505437,2.57595
-0.505313,2.57526
-0.505188,2.57492
-0.505063,2.57492
-0.504938,2.57458
-0.504812,2.57458
-0.504688,2.57458
-0.504563,2.57458
-0.504437,2.57492
-0.504313,2.57458
-0.504188,2.57458
-0.504063,2.57526
-0.503938,2.57526
-0.503812,2.57526
-0.503688,2.57526
-0.503563,2.57492
-0.503437,2.57492
-0.503313,2.57458
-0.503188,2.57424
-0.503063,2.57458
-0.502938,2.57424
-0.502812,2.57389
-0.502688,2.57424
-0.502563,2.57424
-0.502437,2.57424
-0.502313,2.57458
-0.502188,2.57424
-0.502063,2.57458
-0.501938,2.57458
-0.501812,2.57458
-0.501688,2.57492
-0.501563,2.57492
-0.501437,2.57458
-0.501313,2.57458
-0.501188,2.57458
-0.501063,2.57458
-0.500938,2.57458
-0.500812,2.57458
-0.500688,2.57424
-0.500563,2.57458
-0.500437,2.57424
-0.500313,2.57458
-0.500188,2.57424
-0.500063,2.57355
-0.499937,2.57424
-0.499812,2.57389
-0.499688,2.57389
-0.499562,2.57389
-0.499437,2.57389
-0.499312,2.57389
-0.499188,2.57389
-0.499062,2.57389
-0.498937,2.57424
-0.498812,2.57389
-0.498688,2.57321
-0.498562,2.57355
-0.498437,2.57321
-0.498312,2.57321
-0.498188,2.57321
-0.498062,2.57253
-0.497937,2.57253
-0.497812,2.57253
-0.497688,2.57219
-0.497562,2.57253
-0.497437,2.57287
-0.497312,2.57253
-0.497188,2.57287
-0.497062,2.57321
-0.496937,2.57287
-0.496812,2.57321
-0.496688,2.57287
-0.496562,2.57355
-0.496437,2.57389
-0.496312,2.57389
-0.496188,2.57424
-0.496062,2.57458
-0.495937,2.57458
-0.495812,2.57526
-0.495688,2.57526
-0.495562,2.57526
-0.495437,2.57595
-0.495312,2.5756
-0.495188,2.5756
-0.495062,2.57595
-0.494937,2.5756
-0.494812,2.57629
-0.494688,2.57663
-0.494562,2.57629
-0.494437,2.57697
-0.494312,2.57663
-0.494188,2.57731
-0.494062,2.578
-0.493937,2.57765
-0.493812,2.57765
-0.493688,2.578
-0.493562,2.578
-0.493437,2.57834
-0.493312,2.578
-0.493188,2.57765
-0.493062,2.578
-0.492937,2.57731
-0.492812,2.57765
-0.492688,2.57765
-0.492562,2.57697
-0.492437,2.57765
-0.492312,2.57765
-0.492188,2.578
-0.492062,2.57834
-0.491937,2.57765
-0.491812,2.578
-0.491687,2.578
-0.491562,2.578
-0.491437,2.57868
-0.491312,2.57868
-0.491187,2.57902
-0.491062,2.57868
-0.490937,2.57834
-0.490812,2.57834
-0.490687,2.57868
-0.490562,2.57834
-0.490437,2.57902
-0.490312,2.57868
-0.490187,2.57902
-0.490062,2.57868
-0.489937,2.57834
-0.489812,2.57868
-0.489687,2.57902
-0.489562,2.57868
-0.489437,2.57902
-0.489312,2.57902
-0.489187,2.57868
-0.489062,2.57936
-0.488937,2.57936
-0.488812,2.57902
-0.488687,2.57936
-0.488562,2.57936
-0.488437,2.57936
-0.488312,2.57936
-0.488187,2.57902
-0.488062,2.57936
-0.487937,2.57936
-0.487812,2.57936
-0.487687,2.57902
-0.487562,2.57936
-0.487437,2.57868
-0.487312,2.57868
-0.487187,2.57868
-0.487062,2.57868
-0.486937,2.57902
-0.486812,2.57936
-0.486687,2.57902
-0.486562,2.57936
-0.486437,2.57902
-0.486312,2.57902
-0.486187,2.57902
-0.486062,2.57868
-0.485937,2.57936
-0.485812,2.57902
-0.485687,2.57834
-0.485562,2.57868
-0.485437,2.57834
-0.485312,2.57834
-0.485187,2.57834
-0.485062,2.57765
-0.484937,2.578
-0.484812,2.57765
-0.484687,2.57731
-0.484562,2.57765
-0.484437,2.57765
-0.484312,2.57731
-0.484187,2.57765
-0.484063,2.57697
-0.483937,2.57663
-0.483812,2.57731
-0.483687,2.57731
-0.483563,2.57731
-0.483437,2.57697
-0.483312,2.57697
-0.483187,2.57731
-0.483063,2.57697
-0.482937,2.57663
-0.482812,2.57629
-0.482687,2.57595
-0.482563,2.5756
-0.482437,2.57595
-0.482312,2.57526
-0.482187,2.57492
-0.482063,2.57492
-0.481937,2.57492
-0.481812,2.57492
-0.481687,2.57458
-0.481563,2.57424
-0.481437,2.57492
-0.481312,2.57424
-0.481187,2.57424
-0.481063,2.57424
-0.480937,2.57424
-0.480812,2.57389
-0.480687,2.57424
-0.480563,2.57355
-0.480437,2.57389
-0.480312,2.57355
-0.480187,2.57355
-0.480063,2.57321
-0.479937,2.57287
-0.479812,2.57253
-0.479687,2.57253
-0.479563,2.57219
-0.479437,2.57219
-0.479312,2.57287
-0.479187,2.57253
-0.479063,2.57253
-0.478937,2.57321
-0.478812,2.57287
-0.478687,2.57355
-0.478563,2.57355
-0.478437,2.57355
-0.478312,2.57355
-0.478187,2.57321
-0.478063,2.57355
-0.477937,2.57321
-0.477812,2.57287
-0.477687,2.57321
-0.477563,2.57287
-0.477437,2.57253
-0.477312,2.57287
-0.477187,2.57184
-0.477063,2.57184
-0.476937,2.57219
-0.476812,2.57219
-0.476687,2.57253
-0.476562,2.57219
-0.476437,2.57219
-0.476312,2.57219
-0.476187,2.57219
-0.476062,2.57219
-0.475937,2.57253
-0.475812,2.57219
-0.475687,2.57253
-0.475562,2.57219
-0.475437,2.57219
-0.475312,2.57253
-0.475187,2.57184
-0.475062,2.57184
-0.474937,2.57184
-0.474812,2.57184
-0.474687,2.57219
-0.474562,2.57184
-0.474437,2.57184
-0.474312,2.57184
-0.474187,2.5715
-0.474062,2.57219
-0.473937,2.57184
-0.473812,2.57184
-0.473687,2.57184
-0.473562,2.57184
-0.473437,2.57219
-0.473312,2.57253
-0.473187,2.57184
-0.473062,2.57219
-0.472937,2.57184
-0.472812,2.5715
-0.472687,2.57184
-0.472562,2.57082
-0.472437,2.57048
-0.472312,2.57048
-0.472187,2.57013
-0.472062,2.57048
-0.471937,2.56979
-0.471812,2.56979
-0.471687,2.56979
