#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A41D55
#Date Time: 2020-05-22 13:50:03.416
#Sample rate: 8000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 2.75 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.5 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.3 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.51195,2.96628
-0.511825,2.96594
-0.5117,2.9656
-0.511575,2.96594
-0.51145,2.96628
-0.511325,2.96662
-0.5112,2.96662
-0.511075,2.96662
-0.51095,2.96731
-0.510825,2.96696
-0.5107,2.96628
-0.510575,2.96696
-0.51045,2.96628
-0.510325,2.96731
-0.5102,2.96731
-0.510075,2.96765
-0.50995,2.96799
-0.509825,2.96731
-0.5097,2.96696
-0.509575,2.96731
-0.50945,2.96765
-0.509325,2.96799
-0.5092,2.96867
-0.509075,2.96799
-0.50895,2.96867
-0.508825,2.96867
-0.5087,2.96867
-0.508575,2.96902
-0.50845,2.96867
-0.508325,2.96902
-0.5082,2.96902
-0.508075,2.96867
-0.50795,2.96936
-0.507825,2.96867
-0.5077,2.96867
-0.507575,2.96936
-0.50745,2.96867
-0.507325,2.96936
-0.5072,2.9697
-0.507075,2.9697
-0.50695,2.97004
-0.506825,2.9697
-0.5067,2.9697
-0.506575,2.97004
-0.50645,2.96936
-0.506325,2.97004
-0.5062,2.97038
-0.506075,2.97004
-0.50595,2.97038
-0.505825,2.97038
-0.5057,2.97072
-0.505575,2.97072
-0.50545,2.97072
-0.505325,2.97072
-0.5052,2.97141
-0.505075,2.97107
-0.50495,2.97107
-0.504825,2.97209
-0.5047,2.97107
-0.504575,2.97107
-0.50445,2.97141
-0.504325,2.97107
-0.5042,2.97175
-0.504075,2.97175
-0.50395,2.97175
-0.503825,2.97175
-0.5037,2.97107
-0.503575,2.97141
-0.50345,2.97107
-0.503325,2.97072
-0.5032,2.97072
-0.503075,2.97072
-0.50295,2.97107
-0.502825,2.97107
-0.5027,2.97072
-0.502575,2.97004
-0.50245,2.96867
-0.502325,2.96867
-0.5022,2.96902
-0.502075,2.9697
-0.50195,2.96936
-0.501825,2.96936
-0.5017,2.96936
-0.501575,2.96833
-0.50145,2.96696
-0.501325,2.96696
-0.5012,2.96731
-0.501075,2.96833
-0.50095,2.96765
-0.500825,2.96731
-0.5007,2.96731
-0.500575,2.96662
-0.50045,2.96662
-0.500325,2.96662
-0.5002,2.96628
-0.500075,2.96628
-0.49995,2.96628
-0.499825,2.9656
-0.4997,2.96594
-0.499575,2.9656
-0.49945,2.96491
-0.499325,2.96526
-0.4992,2.96423
-0.499075,2.96423
-0.49895,2.96491
-0.498825,2.96491
-0.4987,2.96491
-0.498575,2.96491
-0.49845,2.96491
-0.498325,2.96457
-0.4982,2.96491
-0.498075,2.96457
-0.49795,2.96457
-0.497825,2.96491
-0.4977,2.96457
-0.497575,2.96491
-0.49745,2.96526
-0.497325,2.96457
-0.4972,2.96491
-0.497075,2.96491
-0.49695,2.96491
-0.496825,2.96526
-0.4967,2.9656
-0.496575,2.9656
-0.49645,2.9656
-0.496325,2.96491
-0.4962,2.96526
-0.496075,2.9656
-0.49595,2.96526
-0.495825,2.9656
-0.4957,2.96594
-0.495575,2.96594
-0.49545,2.96594
-0.495325,2.96628
-0.4952,2.96594
-0.495075,2.96662
-0.49495,2.96594
-0.494825,2.96594
-0.4947,2.96662
-0.494575,2.96662
-0.49445,2.96662
-0.494325,2.96662
-0.4942,2.96594
-0.494075,2.96628
-0.49395,2.96696
-0.493825,2.96628
-0.4937,2.96696
-0.493575,2.96696
-0.49345,2.96662
-0.493325,2.96628
-0.4932,2.96628
-0.493075,2.96696
-0.49295,2.96731
-0.492825,2.96696
-0.4927,2.96731
-0.492575,2.96765
-0.49245,2.96731
-0.492325,2.96731
-0.4922,2.96731
-0.492075,2.96731
-0.49195,2.96799
-0.491825,2.96731
-0.4917,2.96731
-0.491575,2.96765
-0.49145,2.96696
-0.491325,2.96765
-0.4912,2.96731
-0.491075,2.96696
-0.49095,2.96696
-0.490825,2.96662
-0.4907,2.96628
-0.490575,2.96696
-0.49045,2.96696
-0.490325,2.96696
-0.4902,2.96731
-0.490075,2.96696
-0.48995,2.96696
-0.489825,2.96731
-0.4897,2.96662
-0.489575,2.96696
-0.48945,2.96696
-0.489325,2.96662
-0.4892,2.96696
-0.489075,2.96662
-0.48895,2.96662
-0.488825,2.96662
-0.4887,2.96628
-0.488575,2.96628
-0.48845,2.96696
-0.488325,2.96628
-0.4882,2.96628
-0.488075,2.96628
-0.48795,2.96594
-0.487825,2.96628
-0.4877,2.96594
-0.487575,2.96594
-0.48745,2.96628
-0.487325,2.96662
-0.4872,2.96628
-0.487075,2.96628
-0.48695,2.9656
-0.486825,2.96594
-0.4867,2.96594
-0.486575,2.9656
-0.48645,2.96662
-0.486325,2.9656
-0.4862,2.9656
-0.486075,2.9656
-0.48595,2.96321
-0.485825,2.96457
-0.4857,2.96491
-0.485575,2.96526
-0.48545,2.9656
-0.485325,2.96526
-0.4852,2.96491
-0.485075,2.96355
-0.48495,2.96389
-0.484825,2.96457
-0.4847,2.96526
-0.484575,2.96491
-0.48445,2.96526
-0.484325,2.96457
-0.4842,2.96491
-0.484075,2.96389
-0.48395,2.96355
-0.483825,2.96457
-0.4837,2.96457
-0.483575,2.96457
-0.48345,2.96526
-0.483325,2.96457
-0.4832,2.96491
-0.483075,2.96491
-0.48295,2.96457
-0.482825,2.96491
-0.4827,2.96423
-0.482575,2.96423
-0.48245,2.96491
-0.482325,2.96423
-0.4822,2.9656
-0.482075,2.96594
-0.48195,2.96594
-0.481825,2.96662
-0.4817,2.96594
-0.481575,2.96594
-0.48145,2.96628
-0.481325,2.96628
-0.4812,2.96628
-0.481075,2.96696
-0.48095,2.96662
-0.480825,2.96662
-0.4807,2.96696
-0.480575,2.96628
-0.48045,2.96696
-0.480325,2.96731
-0.4802,2.96628
-0.480075,2.96696
-0.47995,2.96662
-0.479825,2.96628
-0.4797,2.96662
-0.479575,2.96628
-0.47945,2.96662
-0.479325,2.96628
-0.4792,2.96594
-0.479075,2.96594
-0.47895,2.96594
-0.478825,2.96526
-0.4787,2.96594
-0.478575,2.9656
-0.47845,2.9656
-0.478325,2.96526
-0.4782,2.96491
-0.478075,2.96526
-0.47795,2.96491
-0.477825,2.96457
-0.4777,2.96457
-0.477575,2.96457
-0.47745,2.96457
-0.477325,2.96457
-0.4772,2.96457
-0.477075,2.96491
-0.47695,2.96423
-0.476825,2.96355
-0.4767,2.96457
-0.476575,2.96423
-0.47645,2.96423
-0.476325,2.96491
-0.4762,2.96457
-0.476075,2.96423
-0.47595,2.96457
-0.475825,2.96389
-0.4757,2.96457
-0.475575,2.96457
-0.47545,2.96457
-0.475325,2.96457
-0.4752,2.96423
-0.475075,2.96389
-0.47495,2.96457
-0.474825,2.96389
-0.4747,2.96423
-0.474575,2.96389
-0.47445,2.96355
-0.474325,2.96423
-0.4742,2.96355
-0.474075,2.96355
-0.47395,2.96389
-0.473825,2.96389
-0.4737,2.96389
-0.473575,2.96389
-0.47345,2.96355
-0.473325,2.96389
-0.4732,2.96389
-0.473075,2.96321
-0.47295,2.96321
