#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A41D55
#Date Time: 2020-05-25 15:12:28.515
#Sample rate: 8000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Either Level: 2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.5 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.3 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.511971,2.81521
-0.511846,2.81486
-0.511721,2.81486
-0.511596,2.81521
-0.511471,2.81452
-0.511346,2.81486
-0.511221,2.81418
-0.511096,2.81418
-0.510971,2.81418
-0.510846,2.81418
-0.510721,2.81521
-0.510596,2.81418
-0.510471,2.81452
-0.510346,2.81452
-0.510221,2.81418
-0.510096,2.81486
-0.509971,2.81418
-0.509846,2.81452
-0.509721,2.81452
-0.509596,2.81452
-0.509471,2.81521
-0.509346,2.81452
-0.509221,2.81486
-0.509096,2.81486
-0.508971,2.81521
-0.508846,2.81521
-0.508721,2.81486
-0.508596,2.81623
-0.508471,2.81555
-0.508346,2.81589
-0.508221,2.81589
-0.508096,2.81555
-0.507971,2.81623
-0.507846,2.81521
-0.507721,2.81589
-0.507596,2.81555
-0.507471,2.81555
-0.507346,2.81623
-0.507221,2.81589
-0.507096,2.81657
-0.506971,2.81623
-0.506846,2.81657
-0.506721,2.81691
-0.506596,2.81657
-0.506471,2.81691
-0.506346,2.81623
-0.506221,2.81623
-0.506096,2.81623
-0.505971,2.81691
-0.505846,2.81691
-0.505721,2.81691
-0.505596,2.81691
-0.505471,2.81657
-0.505346,2.81726
-0.505221,2.81657
-0.505096,2.81691
-0.504971,2.81726
-0.504846,2.81691
-0.504721,2.81726
-0.504596,2.81657
-0.504471,2.81726
-0.504346,2.81828
-0.504221,2.81862
-0.504096,2.81931
-0.503971,2.81931
-0.503846,2.81897
-0.503721,2.81931
-0.503596,2.81965
-0.503471,2.81999
-0.503346,2.81965
-0.503221,2.82033
-0.503096,2.81999
-0.502971,2.81999
-0.502846,2.81965
-0.502721,2.81897
-0.502596,2.81931
-0.502471,2.81931
-0.502346,2.82033
-0.502221,2.81999
-0.502096,2.81999
-0.501971,2.82102
-0.501846,2.82102
-0.501721,2.82136
-0.501596,2.82067
-0.501471,2.82102
-0.501346,2.82136
-0.501221,2.82136
-0.501096,2.82204
-0.500971,2.82102
-0.500846,2.82204
-0.500721,2.8217
-0.500596,2.8217
-0.500471,2.82238
-0.500346,2.8217
-0.500221,2.82238
-0.500096,2.82204
-0.499971,2.82238
-0.499846,2.82204
