Item Number,Manufacturer P/N,Manufacturer Name,Part Type,Value (Text),Description,Quantity,Designator
1,434123025826,Würth Elektronik,Button,"",TACT SWITCH 4.2X3.2MM VERTICAL T,2,S5-6
2,0603B102K500CT,Walsin Technology Corporation,Capacitor,1n,CAP 1nF 50V 10% X7R 0603,1,C5
3,10147606-00004LF,Amphenol ICC (FCI),Connector,"",CONN HEADER SMD R/A 4POS 1MM,2,J2-3
4,9774010243R,Würth Elektronik,Mount,"",ROUND STANDOFF M2X0.4 STEEL 1MM,4,M1-4
5,APHCM2012VBC/D,Kingbright,LED,"",LED BLUE CLEAR 2SMD,2,D4 D6
6,BSS123WQ-7-F,Diodes Incorporated,FET,"",MOSFET N-CH 100V 170mA SOT323,19,Q2-8 Q10 Q24-32 Q38 Q42
7,BSS223PWH6327XTSA1,Infineon Technologies,FET,"",MOSFET P-CH 20V 390MA SOT-323,1,Q1
8,"BSS84AK,215",Nexperia USA Inc.,FET,"",MOSFET P-CH 50V TO-236AB,1,Q11
9,CC0603JRNPO9BN120,Yageo,Capacitor,12p,CAP CER 12pF 50V C0G/NP0 0603,2,C22-23
10,CC1206KKX5R7BB226,Yageo,Capacitor,22u,CAP CER 22UF 16V X5R 1206,1,C11
11,CL31B106KAHNNNE,Samsung Electro-Mechanics,Capacitor,10u,CAP CER 10UF 25V X7R 1206,1,C9
12,CML0603X7R332KT50V,Stackpole Electronics Inc,Capacitor,3.3n,CAP CER 3300PF 50V X7R 0603,1,C10
13,CRCW06031K00JNEAC,Vishay Dale,Resistor,1k,RES 1K OHM 5% 1/10W 0603,1,R64
14,CRCW0603499RFKEAC,Vishay Dale,Resistor,499,RES 499 OHM 1% 1/10W 0603,2,R26-27
15,CRCW1206499RFKEB,Vishay Dale,Resistor,"",RES SMD 499 OHM 1% 1/4W 1206,5,R9-13
16,"DF3A5.6LFU,LF",Toshiba Semiconductor and Storage,Diode,"",TVS DIODE 3.5V USM,1,D21
17,DMP3099L-7,Diodes Incorporated,FET,"",MOSFET P-CH 30V 3.8A SOT23,1,Q39
18,ERJ-3EKF2003V,Panasonic Electronic Components,Resistor,200k,RES SMD 200K OHM 1% 1/10W 0603,1,R42
19,ERJ-8ENF4220V,Panasonic Electronic Components,Resistor,"",RES SMD 422 OHM 1% 1/4W 1206,7,R14-18 R24 R30
20,ESDA18-1K,STMicroelectronics,Diode,"",TVS DIODE 15V 34V SOD523,1,D3
21,FC-135 32.7680KA-A5,EPSON,Crystal,32.7680k,CRYSTAL 32.7680 KHZ 12.5PF SMD,1,X3
22,FFC3B07-05-T,GCT,Connector,"","05W, 1.0MM FFC CONN, R/A,BOT CON",1,J6
23,FFC3B07-10-T,GCT,Connector,"","10W, 1.0MM FFC CONN, R/A,BOT CON",1,J4
24,GCJ188R71E104KA12D,Murata Electronics North America,Capacitor,0.1u,CAP 0.1uF 25V 10% X7R 0603,4,C1 C4 C21 C36
25,GCM31CR71C106KA64L,Murata Electronics North America,Capacitor,10u,CAP 10uF 16V X7R 1206,2,C3 C20
26,MPZ1608S331ATA00,TDK Corporation,Bead,"",FERRITE BEAD 330 OHM 0603 1LN,1,B1
27,MSP430FR2311IPW16,Texas Instruments,IC,"",IC MCU 16BIT 3.75KB FRAM 16TSSOP,1,U4
28,NCP15WF104J03RC,Murata Electronics,NTC,100k,THERM NTC 100KOHM 4250K 0402,1,R38
29,QBLP600-RIB,QT Brightek (QTB),LED,"",LED BLUE/RED CLEAR 0606 SMD,5,U3 U6 U8 U10 U13
30,RC0603FR-07100KL,Yageo,Resistor,100k,RES 100K 1% 1/10W 0603,2,R61 R68
31,RC0603FR-0715KL,Yageo,Resistor,15k,RES 15K0 1% 1/10W 0603,2,R4 R6
32,RC0603FR-07470KL,Yageo,Resistor,470k,RES SMD 470K OHM 1% 1/10W 0603,1,R69
33,RC0603FR-074K7L,Yageo,Resistor,4.7k,RES 4K7 1% 1/10W 0603,1,R3
34,RC0603JR-07100KL,Yageo,Resistor,100k,RES SMD 100K OHM 5% 1/10W 0603,3,R31 R35 R65
35,RC0603JR-07150KL,Yageo,Resistor,150k,RES SMD 150K OHM 5% 1/10W 0603,1,R70
36,RC0603JR-071ML,Yageo,Resistor,1M,RES SMD 1M OHM 5% 1/10W 0603,7,R8 R19-21 R28-29 R63
37,RMCF0603FT33K2,Stackpole Electronics Inc,Resistor,33.2k,RES 33.2K OHM 1% 1/10W 0603,2,R5 R7
38,RMCF0603FT3M00,Stackpole Electronics Inc,Resistor,3M,RES 3M00 1% 1/10W 0603,2,R36 R60
39,RN731JTTD1002B25,"KOA Speer Electronics, Inc.",Resistor,10k,RES 10K OHM 0.1% 1/16W 0603,1,R23
40,RC0603FR-0731K6L,Yageo,Resistor,31.6k,RES 31K6 1% 1/10W 0603,1,R22
41,RT0603DRE072KL,Yageo,Resistor,2k,RES SMD 2K OHM 0.5% 1/10W 0603,1,R54
42,SRP0315-2R2K,Bourns Inc.,Inductor,2.2u,"IND,3.4X3.1X1.5MM,2.2UH10%,3.7A,",1,L1
43,TPS62152AQRGTRQ1,Texas Instruments,IC,"",Buck Switching Regulator IC Positive Fixed 3.3V 1 Output 1A 16-VFQFN Exposed Pad,1,U17
44,ZXRE250BSA-7,Diodes Incorporated,IC,"",IC VREF SHUNT 36V 0.5% SOT23,1,D2
45,PCB-GR0102-MAIN,AXIS Labs,PCB Bare,"",Gear V2 Main Body Main Bare Board Rev.D,1,""
46,BLE-0101,RYSE Inc.,*SKU* - Top Level **Edit Auto Gen PN**,"",BLE module,1,U1
