Manufacturer P/N,Manufacturer Name,Part Type,Description,Value (Text),Quantity,Designator
CONMHF1-SMD-G-T,Linx Technologies Inc.,Connector,CONN UMC JACK STR SMD,,1,A1
GRM155R70J105KA12D,Murata Electronics,Capacitor,CAP CER 1UF 6.3V X7R 0402,1u,11,"C1, C2, C3, C17, C28, C29, C36, C38, C42, C44, C48"
GRM155Z71A225KE01D,Murata Electronics,Capacitor,CAP CER 2.2UF 10V X7R 0402,2.2u,4,"C25, C27, C40, C74"
CL05A475MP5NRNC,Samsung Electro-Mechanics,Capacitor,CAP CER 4.7UF 10V X5R 0402,4.7u,7,"C26, C32, C33, C35, C49, C76, C79"
GRM155R60J106ME05J,Murata Electronics,Capacitor,CAP CER 10UF 6.3V X5R 0402,10u,2,"C30, C31"
0201B101K160CT,Walsin Technology Corporation,Capacitor,CAP CER 100PF 16V X7R 0201,100p,7,"C37, C39, C41, C43, C45, C46, C47"
GRM033Z71C104KE14D,Murata Electronics,Capacitor,CAP CER 0.1UF 16V X7R 0201,0.1u,33,"C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C18, C19, C20, C21, C22, C23, C24, C34, C63, C65, C66, C67, C68, C69, C70, C71, C72, C73, C75, C80"
0201N100J250CT,Walsin Technology Corporation,Capacitor,CAP CER 10PF 25V C0G/NP0 0201,10p,3,"C50, C56, C57"
CL03C020BA3GNNC,Samsung Electro-Mechanics,Capacitor,CAP CER 2PF 25V C0G/NP0 0201,2p,2,"C51, C52"
GRM0335C1E1R2WA01D,Murata Electronics,Capacitor,CAP CER 1.2PF 25V C0G/NP0 0201,1.2P,2,"C58, C59"
CGA1A2C0G1E090D030BA,TDK Corporation,Capacitor,CAP CER 9PF 25V C0G 0201,9p,1,C60
CGA1A2C0G1E030C030BA,TDK Corporation,Capacitor,CAP CER 3PF 25V C0G 0201,3p,2,"C61, C62"
CGA1A2X7R1C152K030BA,TDK Corporation,Capacitor,CAP CER 1500PF 16V X7R 0201,1.5n,3,"C64, C77, C78"
WLPH201610M2R2PP,Walsin Technology Corporation,Inductor,POWER CHOKE MOLDED 2.2UH 1.9A,2.2u,1,L1
WLCM0603TGB1N5TB,Walsin Technology Corporation,Inductor,INDUCTOR FIXED 1.5NH 0201,1.5n,3,"L2, L3, L7"
LQP03TN2N5B02D,Murata Electronics,Inductor,FIXED IND 2.5NH 500MA 200MOHM SM,2.5n,2,"L4, L5"
1-2176075-8,TE Connectivity Passive Product,Inductor,FIXED IND 1.8NH 200MA 550MOHM SM,1.8n,1,L6
RMCF0201FT1K00,Stackpole Electronics Inc,Resistor,RES 1K OHM 1% 1/20W 0201,1k,2,"R1, R2"
RC0201FR-0724K3L,Yageo,Resistor,RES 24.3K OHM 1% 1/20W 0201,24.3k,1,R23
AC0201FR-075K1L,Yageo,Resistor,RES SMD 5.1K OHM 1% 1/20W 0201,5.1k,1,R24
AC0201JR-070RL,Yageo,Resistor,RES SMD 0 OHM JUMPER 1/20W 0201,,1,R25
RC0201FR-07100RL,Yageo,Resistor,RES 100 OHM 1% 1/20W 0201,100,1,R3
RC0201FR-0722RL,Yageo,Resistor,RES 22 OHM 1% 1/20W 0201,22,4,"R4, R10, R11, R22"
RC0201FR-074K7L,Yageo,Resistor,RES 4.7K OHM 1% 1/20W 0201,4.7k,8,"R5, R8, R14, R15, R17, R18, R19, R21"
RC0201FR-0710KP,Yageo,Resistor,RES SMD 10K OHM 1% 1/20W 0201,10k,4,"R6, R7, R13, R16"
LQP03TN10NHZ2D,Murata Electronics,Inductor,FIXED IND 10NH 250MA 700MOHM SMD,10n,2,"R9, R12"
SH-33.8MM18.4MM2MM-AL,AXIS Labs,Shield,RF shield for NW0101,,1,S1
MT7688AN,MediaTek Inc,IC,580Mhz 32bits Networking Processor,,1,U1
W9751G6NB-25,Winbond Electronics,IC,IC DRAM 512MBIT PARALLEL 84VFBGA,,1,U2
W25Q128JVEIQ,Winbond Electronics,IC,IC FLASH 128MBIT SPI/QUAD 8WSON,,1,U3
R2520-40.000-12-F-1010-TR-NS1,Raltron Electronics,Crystal,CRYSTAL 40.0000MHZ 12PF SMD,40M,1,X3
