Pin Group,Number,Name,Type
Gate-D,1,AVSS33_RF_1,Undefined
Gate-D,2,AVSS33_RF_2,Undefined
Gate-D,3,WF0_RFION_1,Undefined
Gate-D,4,WF0_RFION_2,Undefined
Gate-D,5,WF0_RFIOP_1,Undefined
Gate-D,6,WF0_RFIOP_2,Undefined
Gate-D,7,AVSS33_RF,Undefined
Gate-D,8,AVDD33_WF0_TX,Undefined
Gate-D,9,NC_1,Undefined
Gate-D,10,AVSS33_RF_3,Undefined
Gate-D,11,NC_2,Undefined
Gate-D,12,NC_3,Undefined
Gate-D,13,AVSS33_RF_4,Undefined
Gate-D,14,AVDD33_WF1_TX,Undefined
Gate-D,15,AVDD33_WF1_TRX,Undefined
Gate-F,16,I2S_SDI,Undefined
Gate-F,17,I2S_SDO,Undefined
Gate-F,18,I2S_WS,Undefined
Gate-F,19,I2S_CLK,Undefined
Gate-F,20,I2C_SCLK,Undefined
Gate-F,21,I2C_SD,Undefined
Gate-A,22,SOC_CO_V12D_1,Undefined
Gate-A,23,SOC_IO_V33D_1,Undefined
Gate-F,24,SPI_CS1,Undefined
Gate-F,25,SPI_CLK,Undefined
Gate-F,26,SPI_MISO,Undefined
Gate-F,27,SPI_MOSI,Undefined
Gate-F,28,SPI_CS0,Undefined
Gate-F,29,GPIO0,Undefined
Gate-F,30,TXD0,Undefined
Gate-F,31,RXD0,Undefined
Gate-E,32,AVDD33_TX_P0,Undefined
Gate-E,33,MDI_RP_P0,Undefined
Gate-E,34,MDI_RN_P0,Undefined
Gate-E,35,MDI_TP_P0,Undefined
Gate-E,36,MDI_TN_P0,Undefined
Gate-F,37,NC_4,Undefined
Gate-E,38,AVDD33_COM,Undefined
Gate-E,39,EPHY_VRT,Undefined
Gate-E,40,MDI_TP_P1,Undefined
Gate-E,41,AVDD33_TX_P1234_1,Undefined
Gate-E,42,MDI_TN_P1,Undefined
Gate-E,43,MDI_RP_P1,Undefined
Gate-E,44,MDI_RN_P1,Undefined
Gate-E,45,MDI_RP_P2,Undefined
Gate-E,46,MDI_RN_P2,Undefined
Gate-E,47,MDI_TP_P2,Undefined
Gate-E,48,MDI_TN_P2,Undefined
Gate-E,49,MDI_TP_P3,Undefined
Gate-E,50,MDI_TN_P3,Undefined
Gate-E,51,MDI_RP_P3,Undefined
Gate-E,52,MDI_RN_P3,Undefined
Gate-E,53,AVDD33_TX_P1234_2,Undefined
Gate-E,54,MDI_RP_P4,Undefined
Gate-E,55,MDI_RN_P4,Undefined
Gate-E,56,MDI_TP_P4,Undefined
Gate-E,57,MDI_TN_P4,Undefined
Gate-A,58,SOC_CO_V12D_2,Undefined
Gate-C,59,USB_VRT,Undefined
Gate-C,60,AVDD33_USB,Undefined
Gate-C,61,USB_DP,Undefined
Gate-C,62,USB_DM,Undefined
Gate-B,63,DDR_IO_VSS_1,Undefined
Gate-B,64,MDQM1,Undefined
Gate-B,65,MD15,Undefined
Gate-B,66,MD8,Undefined
Gate-B,67,MD13,Undefined
Gate-B,68,MD10,Undefined
Gate-B,69,MD2,Undefined
Gate-B,70,MD7,Undefined
Gate-B,71,MD0,Undefined
Gate-B,72,MDQS1,Undefined
Gate-B,73,MD5,Undefined
