Item Number,Manufacturer P/N,Manufacturer Name,Part Type,Value (Text),Description,Quantity,Designator
1,0ZCG0150BF2C,Bel Fuse Inc.,FUSE,"",PTC RESET FUSE 24V 1.5A 1812,1,F1
2,AP7380-33Y-13,Diodes Incorporated,IC,"",IC REG LINEAR 3.3V 150MA SOT89,1,U12
3,BAS16XV2T1G,ON Semiconductor ,Diode,"",DIODE GEN PURP 100V 200MA SOD523,1,D8
4,BM02B-NSHSS-TBT(LF)(SN),JST Sales America Inc.,Connector,"",CONN HEADER SMD 2POS 1MM,1,J4
5,BM02B-PASS-1-TFT(LF)(SN),JST Sales America Inc.,Connector,"",CONN HEADER SMD R/A 2POS 2MM,1,J6
6,BM05B-PASS-1-TFT(LF)(SN),JST Sales America Inc.,Connector,"",CONN HEADER SMD 5POS 2MM,1,J2
7,BLE-0101,RYSE Inc.,*SKU* - Top Level **Edit Auto Gen PN**,"",BLE module,1,U1
8,BSS123WQ-7-F,Diodes Incorporated,FET,"",MOSFET N-CH 100V 170mA SOT323,11,Q2 Q4-5 Q8-10 Q12 Q18 Q20 Q32 Q38
9,BSS223PWH6327XTSA1,Infineon Technologies,FET,"",MOSFET P-CH 20V 390MA SOT-323,1,Q1
10,"BSS84AK,215",Nexperia USA Inc.,FET,"",MOSFET P-CH 50V TO-236AB,1,Q11
11,CC0603KRX7R9BB101,Yageo,Capacitor,100p,CAP CER 100PF 50V X7R 0603,2,C15-16
12,0603B102K500CT,Walsin Technology Corporation,Capacitor,1n,CAP 1nF 50V 10% X7R 0603,1,C5
13,GCJ188R71E104KA12D,Murata Electronics North America,Capacitor,0.1u,CAP 0.1uF 25V 10% X7R 0603,8,C1-2 C4 C8 C10 C12 C21 C37
14,CL10B105MO8NNWC,Samsung Electro-Mechanics,Capacitor,1u,CAP 1uF 16V 20% X7R 0603,3,C7 C52-53
15,CC0603JRNPO9BN120,Yageo,Capacitor,12p,CAP CER 12pF 50V C0G/NP0 0603,2,C22-23
16,CML0603X7R332KT50V,Stackpole Electronics Inc,Capacitor,3.3n,CAP CER 3300PF 50V X7R 0603,1,C13
17,GCM31CR71C106KA64L,Murata Electronics North America,Capacitor,10u,CAP 10uF 16V X7R 1206,3,C3 C11 C20
18,CL31A226KOCLFNC,Samsung Electro-Mechanics,Capacitor,22u,CAP 22uF 16V 20% X5R 1206,1,C14
19,DMN6140L-13,Diodes Incorporated,FET,"",MOSFET N-CH 60V 1.6A SOT23,1,Q6
20,DMP3099L-7,Diodes Incorporated,FET,"",MOSFET P-CH 30V 3.8A SOT23,5,Q3 Q7 Q17 Q19 Q39
21,ESD5Z3V3,Diotec Semiconductor,Diode,"",TVS DIODE 3.3VWM 8.4VC SOD523,4,D3 D5-7
22,EVQ-P2D02Q,Panasonic Electronic Components,Button,"",SWITCH TACTILE SPST-NO 0.02A 15V,1,S1
23,FC-135 32.7680KA-A5,EPSON,Crystal,32.7680k,CRYSTAL 32.7680 KHZ 12.5PF SMD,1,X3
24,BM04B-NSHSS-TBT(LF)(SN),JST Sales America Inc.,Connector,"",CONN HEADER SMD 4POS 1MM,1,J3
25,MPZ1608S331ATA00,TDK Corporation,Bead,"",FERRITE BEAD 330 OHM 0603 1LN,1,B1
26,MSP430FR2311IPW16,Texas Instruments,IC,"",IC MCU 16BIT 3.75KB FRAM 16TSSOP,1,U4
27,NCP15WF104J03RC,Murata Electronics,NTC,100k,THERM NTC 100KOHM 4250K 0402,1,R38
28,PTS641SP25SMTR2LFS,C&K,Button,"",SWITCH TACTILE SPST-NO 0.05A 12V,1,S3
29,QBLP600-RGB-2897,QT Brightek (QTB),LED,"",LED RGB CLEAR 0606 SMD,4,U2-3 U5 U10
30,RC0603JR-070RL,Yageo,Resistor,0,RES 0R 0603,2,R4 R6
