Pin Group,Number,Name,Type
Gate-A,M8,A0,Undefined
Gate-A,M3,A1,Undefined
Gate-A,M7,A2,Undefined
Gate-A,N2,A3,Undefined
Gate-A,N8,A4,Undefined
Gate-A,N3,A5,Undefined
Gate-A,N7,A6,Undefined
Gate-A,P2,A7,Undefined
Gate-A,P8,A8,Undefined
Gate-A,P3,A9,Undefined
Gate-A,M2,A10/AP,Undefined
Gate-A,P7,A11,Undefined
Gate-A,R2,A12,Undefined
Gate-A,L2,BA0,Undefined
Gate-A,L3,BA1,Undefined
Gate-A,L1,BA2,Undefined
Gate-A,G8,D0,Undefined
Gate-A,G2,D1,Undefined
Gate-A,H7,D2,Undefined
Gate-A,H3,D3,Undefined
Gate-A,H1,D4,Undefined
Gate-A,H9,D5,Undefined
Gate-A,F1,D6,Undefined
Gate-A,F9,D7,Undefined
Gate-A,C8,D8,Undefined
Gate-A,C2,D9,Undefined
Gate-A,D7,D10,Undefined
Gate-A,D3,D11,Undefined
Gate-A,D1,D12,Undefined
Gate-A,D9,D13,Undefined
Gate-A,B1,D14,Undefined
Gate-A,B9,D15,Undefined
Gate-A,K9,ODT,Undefined
Gate-A,F7,LDQS,Undefined
Gate-A,E8,nLDQS,Undefined
Gate-A,B7,UDQS,Undefined
Gate-A,A8,nUDQS,Undefined
Gate-A,L8,nCS,Undefined
Gate-A,K7,nRAS,Undefined
Gate-A,L7,nCAS,Undefined
Gate-A,K3,nWE,Undefined
Gate-A,B3,UDM,Undefined
Gate-A,F3,LDM,Undefined
Gate-A,J8,CLK,Undefined
Gate-A,K8,nCLK,Undefined
Gate-A,K2,CKE,Undefined
Gate-A,J2,VREF,Undefined
Gate-A,A1,VDDL1,Undefined
Gate-A,E1,VDDL2,Undefined
Gate-A,J9,VDDL3,Undefined
Gate-A,M9,VDDL4,Undefined
Gate-A,R1,VDDL5,Undefined
Gate-A,A3,VSSDL1,Undefined
Gate-A,E3,VSSDL2,Undefined
Gate-A,J3,VSSDL3,Undefined
Gate-A,N1,VSSDL4,Undefined
Gate-A,P9,VSSDL5,Undefined
Gate-A,A9,VDDQ1,Undefined
Gate-A,C1,VDDQ2,Undefined
Gate-A,C3,VDDQ3,Undefined
Gate-A,C7,VDDQ4,Undefined
Gate-A,C9,VDDQ5,Undefined
Gate-A,E9,VDDQ6,Undefined
Gate-A,G1,VDDQ7,Undefined
Gate-A,G3,VDDQ8,Undefined
Gate-A,G7,VDDQ9,Undefined
Gate-A,G9,VDDQ10,Undefined
Gate-A,A7,VSSQ1,Undefined
Gate-A,B2,VSSQ2,Undefined
Gate-A,B8,VSSQ3,Undefined
Gate-A,D2,VSSQ4,Undefined
Gate-A,D8,VSSQ5,Undefined
Gate-A,E7,VSSQ6,Undefined
Gate-A,F2,VSSQ7,Undefined
Gate-A,F8,VSSQ8,Undefined
Gate-A,H2,VSSQ9,Undefined
Gate-A,H8,VSSQ10,Undefined
Gate-A,A2,NC1,Undefined
Gate-A,E2,NC2,Undefined
Gate-A,R3,NC3,Undefined
Gate-A,R7,NC4,Undefined
Gate-A,R8,NC5,Undefined
Gate-A,J7,VSSDL,Undefined
Gate-A,J1,VDDL,Undefined
